date,open,high,low,close,adj_close,volume
1999-11-01,13.16,13.16,13.13,13.13,13.13,1071
1999-11-02,13.16,13.56,13.16,13.56,13.56,6576
1999-11-03,13.38,13.75,13.38,13.75,13.75,5057
1999-11-04,13.56,13.75,13.56,13.56,13.56,4390
1999-11-05,13.44,13.75,13.44,13.69,13.69,14240
1999-11-08,13.63,13.69,13.5,13.5,13.5,11378
1999-11-09,13.5,13.56,13.13,13.13,13.13,18779
1999-11-10,13.25,13.25,12.88,12.88,12.88,21588
1999-11-11,12.91,12.91,12.63,12.81,12.81,9060
1999-11-12,12.5,12.75,12.5,12.75,12.75,12264
1999-11-15,12.81,13.0,12.81,13.0,13.0,7471
1999-11-16,13.0,13.25,13.0,13.13,13.13,22650
1999-11-17,12.81,12.88,12.81,12.88,12.88,2423
1999-11-18,13.13,13.38,12.88,13.0,13.0,15767
1999-11-19,13.0,13.0,12.75,13.0,13.0,4267
1999-11-22,12.75,13.25,12.75,13.0,13.0,5232
1999-11-23,13.0,13.0,12.75,12.75,12.75,8182
1999-11-24,12.19,12.88,12.13,12.88,12.88,10035
1999-11-26,12.5,12.5,12.5,12.5,12.5,966
1999-11-29,12.5,12.75,12.5,12.75,12.75,18779
1999-11-30,12.56,12.88,12.25,12.63,12.63,12379
1999-12-01,12.25,12.75,12.25,12.75,12.75,5057
1999-12-02,12.69,12.75,12.63,12.75,12.75,12264
1999-12-03,12.69,12.81,12.63,12.69,12.69,12642
1999-12-06,12.63,12.75,12.38,12.5,12.5,32966
1999-12-07,12.5,12.5,12.38,12.38,12.38,26434
1999-12-08,12.38,12.69,12.38,12.69,12.69,12818
1999-12-09,12.38,12.75,12.38,12.75,12.75,12264
1999-12-10,12.88,13.06,12.75,13.0,13.0,30420
1999-12-13,13.0,13.0,12.75,12.88,12.88,11580
1999-12-14,12.75,12.88,12.75,12.81,12.81,11984
1999-12-15,12.84,13.06,12.84,12.88,12.88,26390
1999-12-16,12.88,13.0,12.88,12.94,12.94,15644
1999-12-17,13.0,13.19,12.88,13.0,13.0,55835
1999-12-20,13.5,13.75,13.31,13.75,13.75,16557
1999-12-21,13.94,14.0,13.75,14.0,14.0,31368
1999-12-22,14.13,14.25,13.63,14.0,14.0,26153
1999-12-23,13.78,13.81,13.75,13.75,13.75,8375
1999-12-27,13.88,14.0,13.88,14.0,14.0,11632
1999-12-28,13.94,14.25,13.94,14.25,14.25,5768
1999-12-29,14.44,14.44,13.94,14.44,14.44,6839
1999-12-30,13.81,14.5,13.81,14.5,14.5,27382
1999-12-31,14.25,14.38,14.25,14.38,14.38,3371
2000-01-03,14.75,14.75,13.5,13.5,13.5,60023
2000-01-04,14.63,15.0,13.63,14.06,14.06,58390
2000-01-05,14.38,14.38,13.88,14.13,14.13,421627
2000-01-06,14.63,14.75,14.13,14.25,14.25,88652
2000-01-07,14.13,14.13,13.75,13.75,13.75,20438
2000-01-10,13.75,14.0,13.75,13.75,13.75,5979
2000-01-11,13.75,13.88,13.75,13.75,13.75,8375
2000-01-12,13.94,13.94,13.75,13.81,13.81,30657
2000-01-13,13.75,14.0,13.75,13.81,13.81,21456
2000-01-14,14.0,14.06,13.88,14.06,14.06,13590
