symbol,open,high,low,close,adj_close,volume,date
ABUS,3.3,3.375,3.275,3.29,3.29,551953,2025-01-02
ABUS,3.29,3.445,3.285,3.42,3.42,629575,2025-01-03
ABUS,3.42,3.42,3.27,3.27,3.27,629056,2025-01-06
ABUS,3.27,3.54,3.25,3.41,3.41,1595621,2025-01-07
ABUS,3.37,3.38,3.215,3.35,3.35,920372,2025-01-08
ABUS,3.33,3.33,3.235,3.29,3.29,836736,2025-01-10
ABUS,3.25,3.355,3.13,3.35,3.35,1059672,2025-01-13
ABUS,3.38,3.38,3.18,3.18,3.18,751142,2025-01-14
ABUS,3.27,3.37,3.215,3.28,3.28,716243,2025-01-15
ABUS,3.3,3.3,3.16,3.22,3.22,721299,2025-01-16
ABUS,3.23,3.24,3.17,3.2,3.2,610726,2025-01-17
ABUS,3.19,3.25,3.16,3.21,3.21,481149,2025-01-21
ABUS,3.23,3.255,3.175,3.22,3.22,377756,2025-01-22
ABUS,3.18,3.355,3.17,3.34,3.34,876945,2025-01-23
ABUS,3.31,3.385,3.28,3.32,3.32,412235,2025-01-24
ABUS,3.32,3.445,3.32,3.43,3.43,956215,2025-01-27
ABUS,3.42,3.44,3.335,3.35,3.35,392883,2025-01-28
ABUS,3.35,3.44,3.33,3.38,3.38,567966,2025-01-29
ABUS,3.39,3.41,3.2801,3.3,3.3,366663,2025-01-30
ABUS,3.28,3.36,3.25,3.33,3.33,701758,2025-01-31
ABUS,3.28,3.3,3.17,3.28,3.28,720145,2025-02-03
ABUS,3.27,3.37,3.25,3.36,3.36,695214,2025-02-04
ABUS,3.35,3.6,3.35,3.59,3.59,1125733,2025-02-05
ABUS,3.57,3.615,3.41,3.41,3.41,1134862,2025-02-06
ABUS,3.41,3.45,3.33,3.43,3.43,734897,2025-02-07
ABUS,3.44,3.465,3.32,3.33,3.33,398969,2025-02-10
ABUS,3.31,3.335,3.255,3.31,3.31,363297,2025-02-11
ABUS,3.27,3.3234,3.265,3.31,3.31,317880,2025-02-12
ABUS,3.33,3.3599,3.28,3.3,3.3,492006,2025-02-13
ABUS,3.3,3.36,3.235,3.29,3.29,426809,2025-02-14
ABUS,3.31,3.44,3.3012,3.36,3.36,1030903,2025-02-18
ABUS,3.33,3.42,3.315,3.39,3.39,630456,2025-02-19
ABUS,3.395,3.45,3.37,3.44,3.44,499678,2025-02-20
ABUS,3.46,3.515,3.4,3.42,3.42,960067,2025-02-21
ABUS,3.42,3.43,3.34,3.34,3.34,578560,2025-02-24
ABUS,3.4,3.7,3.4,3.45,3.45,3532123,2025-02-25
ABUS,3.5,3.56,3.37,3.44,3.44,1387542,2025-02-26
ABUS,3.5,3.5,3.27,3.37,3.37,1390053,2025-02-27
ABUS,3.37,3.485,3.33,3.45,3.45,1002516,2025-02-28
ABUS,3.43,3.52,3.375,3.42,3.42,1310803,2025-03-03
ABUS,3.4,3.57,3.345,3.39,3.39,1088295,2025-03-04
ABUS,3.39,3.48,3.32,3.46,3.46,862359,2025-03-05
ABUS,3.41,3.545,3.37,3.37,3.37,1313961,2025-03-06
ABUS,3.42,3.42,3.26,3.31,3.31,1191925,2025-03-07
ABUS,3.29,3.32,3.09,3.11,3.11,1050161,2025-03-10
ABUS,3.12,3.179,3.02,3.06,3.06,804872,2025-03-11
ABUS,3.06,3.2,3.02,3.19,3.19,785473,2025-03-12
ABUS,3.2,3.505,3.17,3.32,3.32,1316040,2025-03-13
ABUS,3.34,3.405,3.285,3.3,3.3,707417,2025-03-14
ABUS,3.29,3.31,3.21,3.28,3.28,556164,2025-03-17
ABUS,3.202,3.2713,3.16,3.2,3.2,557926,2025-03-18
ABUS,3.2,3.32,3.2,3.31,3.31,594870,2025-03-19
ABUS,3.31,3.355,3.25,3.31,3.31,834368,2025-03-20
ABUS,3.3,3.34,3.26,3.28,3.28,1840328,2025-03-21
ABUS,3.28,3.4,3.28,3.39,3.39,749574,2025-03-24
ABUS,3.37,3.4,3.31,3.37,3.37,680733,2025-03-25
ABUS,3.37,3.45,3.315,3.35,3.35,653402,2025-03-26
ABUS,3.35,3.39,3.2,3.27,3.27,1448073,2025-03-27
ABUS,3.27,3.54,3.26,3.5,3.5,1444569,2025-03-28
ABUS,3.44,3.54,3.35,3.49,3.49,1395579,2025-03-31
ABUS,3.46,3.6,3.41,3.48,3.48,1358881,2025-04-01
ABUS,3.5,3.61,3.465,3.51,3.51,1316371,2025-04-02
ABUS,3.4,3.535,3.365,3.51,3.51,1770562,2025-04-03
ABUS,3.41,3.455,3.175,3.23,3.23,1537723,2025-04-04
