===== BUILD ZM 3m START 2026-05-04T20:09:34.9541830-05:00 =====
Building futures_contract_3m_candles from futures_contract_1m_candles: symbols=41 root=ZM symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] ZMF2 affected=3353 deleted=0
[2/41] ZMF3 affected=2821 deleted=0
[3/41] ZMF4 affected=2531 deleted=0
[4/41] ZMF5 affected=2701 deleted=0
[5/41] ZMF6 affected=2762 deleted=0
[6/41] ZMH2 affected=9542 deleted=0
[7/41] ZMH3 affected=9852 deleted=0
[8/41] ZMH4 affected=10018 deleted=0
[9/41] ZMH5 affected=9618 deleted=0
[10/41] ZMH6 affected=9220 deleted=0
[11/41] ZMK1 affected=1155 deleted=0
[12/41] ZMK2 affected=10284 deleted=0
[13/41] ZMK3 affected=9900 deleted=0
[14/41] ZMK4 affected=10079 deleted=0
[15/41] ZMK5 affected=9519 deleted=0
[16/41] ZMK6 affected=9113 deleted=0
[17/41] ZMN1 affected=10478 deleted=0
[18/41] ZMN2 affected=10308 deleted=0
[19/41] ZMN3 affected=10645 deleted=0
[20/41] ZMN4 affected=10352 deleted=0
[21/41] ZMN5 affected=9382 deleted=0
[22/41] ZMQ1 affected=2805 deleted=0
[23/41] ZMQ2 affected=2744 deleted=0
[24/41] ZMQ3 affected=3172 deleted=0
[25/41] ZMQ4 affected=3457 deleted=0
[26/41] ZMQ5 affected=2944 deleted=0
[27/41] ZMU1 affected=2964 deleted=0
[28/41] ZMU2 affected=2887 deleted=0
[29/41] ZMU3 affected=3169 deleted=0
[30/41] ZMU4 affected=2747 deleted=0
[31/41] ZMU5 affected=2648 deleted=0
[32/41] ZMV1 affected=2536 deleted=0
[33/41] ZMV2 affected=2665 deleted=0
[34/41] ZMV3 affected=2492 deleted=0
[35/41] ZMV4 affected=2641 deleted=0
[36/41] ZMV5 affected=2782 deleted=0
[37/41] ZMZ1 affected=9947 deleted=0
[38/41] ZMZ2 affected=9630 deleted=0
[39/41] ZMZ3 affected=10679 deleted=0
[40/41] ZMZ4 affected=10416 deleted=0
[41/41] ZMZ5 affected=9912 deleted=0
Done. table=futures_contract_3m_candles symbols=41 affected=256870 deleted=0
===== BUILD ZM 3m DONE 2026-05-04T20:09:57.6432140-05:00 =====
===== BUILD ZM TIMEFRAMES START 2026-05-04T20:09:57.6442148-05:00 =====
Building futures_contract_5m_candles from futures_contract_1m_candles: timeframe=5m minutes=5 symbols=41 root=ZM symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] 5m ZMF2 affected=2229 deleted=0
[2/41] 5m ZMF3 affected=1930 deleted=0
[3/41] 5m ZMF4 affected=1716 deleted=0
[4/41] 5m ZMF5 affected=1820 deleted=0
[5/41] 5m ZMF6 affected=1871 deleted=0
[6/41] 5m ZMH2 affected=5969 deleted=0
[7/41] 5m ZMH3 affected=6303 deleted=0
[8/41] 5m ZMH4 affected=6368 deleted=0
[9/41] 5m ZMH5 affected=6098 deleted=0
[10/41] 5m ZMH6 affected=5906 deleted=0
[11/41] 5m ZMK1 affected=828 deleted=0
[12/41] 5m ZMK2 affected=6533 deleted=0
[13/41] 5m ZMK3 affected=6328 deleted=0
[14/41] 5m ZMK4 affected=6378 deleted=0
[15/41] 5m ZMK5 affected=6107 deleted=0
[16/41] 5m ZMK6 affected=5715 deleted=0
[17/41] 5m ZMN1 affected=6523 deleted=0
[18/41] 5m ZMN2 affected=6543 deleted=0
[19/41] 5m ZMN3 affected=6688 deleted=0
[20/41] 5m ZMN4 affected=6493 deleted=0
[21/41] 5m ZMN5 affected=6013 deleted=0
[22/41] 5m ZMQ1 affected=1956 deleted=0
[23/41] 5m ZMQ2 affected=1904 deleted=0
[24/41] 5m ZMQ3 affected=2149 deleted=0
[25/41] 5m ZMQ4 affected=2366 deleted=0
[26/41] 5m ZMQ5 affected=2020 deleted=0
[27/41] 5m ZMU1 affected=2063 deleted=0
[28/41] 5m ZMU2 affected=2015 deleted=0
[29/41] 5m ZMU3 affected=2200 deleted=0
[30/41] 5m ZMU4 affected=1917 deleted=0
[31/41] 5m ZMU5 affected=1806 deleted=0
[32/41] 5m ZMV1 affected=1792 deleted=0
[33/41] 5m ZMV2 affected=1857 deleted=0
[34/41] 5m ZMV3 affected=1753 deleted=0
[35/41] 5m ZMV4 affected=1837 deleted=0
[36/41] 5m ZMV5 affected=1933 deleted=0
[37/41] 5m ZMZ1 affected=6330 deleted=0
[38/41] 5m ZMZ2 affected=6145 deleted=0
[39/41] 5m ZMZ3 affected=6704 deleted=0
[40/41] 5m ZMZ4 affected=6567 deleted=0
[41/41] 5m ZMZ5 affected=6310 deleted=0
Done. table=futures_contract_5m_candles timeframe=5m symbols=41 affected=165983 deleted=0
Building futures_contract_15m_candles from futures_contract_1m_candles: timeframe=15m minutes=15 symbols=41 root=ZM symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] 15m ZMF2 affected=894 deleted=0
[2/41] 15m ZMF3 affected=818 deleted=0
[3/41] 15m ZMF4 affected=708 deleted=0
[4/41] 15m ZMF5 affected=718 deleted=0
[5/41] 15m ZMF6 affected=777 deleted=0
[6/41] 15m ZMH2 affected=2112 deleted=0
[7/41] 15m ZMH3 affected=2309 deleted=0
[8/41] 15m ZMH4 affected=2299 deleted=0
[9/41] 15m ZMH5 affected=2196 deleted=0
[10/41] 15m ZMH6 affected=2146 deleted=0
[11/41] 15m ZMK1 affected=381 deleted=0
[12/41] 15m ZMK2 affected=2383 deleted=0
[13/41] 15m ZMK3 affected=2305 deleted=0
[14/41] 15m ZMK4 affected=2315 deleted=0
[15/41] 15m ZMK5 affected=2259 deleted=0
[16/41] 15m ZMK6 affected=1981 deleted=0
[17/41] 15m ZMN1 affected=2309 deleted=0
[18/41] 15m ZMN2 affected=2356 deleted=0
[19/41] 15m ZMN3 affected=2367 deleted=0
[20/41] 15m ZMN4 affected=2334 deleted=0
[21/41] 15m ZMN5 affected=2198 deleted=0
[22/41] 15m ZMQ1 affected=835 deleted=0
[23/41] 15m ZMQ2 affected=814 deleted=0
[24/41] 15m ZMQ3 affected=870 deleted=0
[25/41] 15m ZMQ4 affected=989 deleted=0
[26/41] 15m ZMQ5 affected=850 deleted=0
[27/41] 15m ZMU1 affected=884 deleted=0
[28/41] 15m ZMU2 affected=894 deleted=0
[29/41] 15m ZMU3 affected=916 deleted=0
[30/41] 15m ZMU4 affected=824 deleted=0
[31/41] 15m ZMU5 affected=741 deleted=0
[32/41] 15m ZMV1 affected=807 deleted=0
[33/41] 15m ZMV2 affected=821 deleted=0
[34/41] 15m ZMV3 affected=770 deleted=0
[35/41] 15m ZMV4 affected=778 deleted=0
[36/41] 15m ZMV5 affected=806 deleted=0
[37/41] 15m ZMZ1 affected=2300 deleted=0
[38/41] 15m ZMZ2 affected=2233 deleted=0
[39/41] 15m ZMZ3 affected=2417 deleted=0
[40/41] 15m ZMZ4 affected=2336 deleted=0
[41/41] 15m ZMZ5 affected=2291 deleted=0
Done. table=futures_contract_15m_candles timeframe=15m symbols=41 affected=62341 deleted=0
Building futures_contract_30m_candles from futures_contract_1m_candles: timeframe=30m minutes=30 symbols=41 root=ZM symbol=ALL start=BEGINNING end=OPEN rebuild=false
[1/41] 30m ZMF2 affected=491 deleted=0
[2/41] 30m ZMF3 affected=452 deleted=0
[3/41] 30m ZMF4 affected=387 deleted=0
[4/41] 30m ZMF5 affected=398 deleted=0
[5/41] 30m ZMF6 affected=428 deleted=0
[6/41] 30m ZMH2 affected=1097 deleted=0
[7/41] 30m ZMH3 affected=1218 deleted=0
[8/41] 30m ZMH4 affected=1198 deleted=0
[9/41] 30m ZMH5 affected=1154 deleted=0
[10/41] 30m ZMH6 affected=1125 deleted=0
[11/41] 30m ZMK1 affected=227 deleted=0
[12/41] 30m ZMK2 affected=1252 deleted=0
[13/41] 30m ZMK3 affected=1200 deleted=0
[14/41] 30m ZMK4 affected=1214 deleted=0
[15/41] 30m ZMK5 affected=1185 deleted=0
[16/41] 30m ZMK6 affected=1007 deleted=0
[17/41] 30m ZMN1 affected=1196 deleted=0
