🔹 Starting server...
✅ Connected to local DB
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /strategy-candidates
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /strategy-candidates
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: OPTIONS /storage/candle-summary
🔔 Incoming request: POST /storage/candle-summary
🔔 Incoming request: POST /storage/candle-summary
