🔹 Starting server...
✅ Connected to local DB
🔔 Incoming request: POST /admin/status
🔔 Incoming request: POST /admin/status
🔔 Incoming request: POST /admin/run-action
🔔 Incoming request: POST /admin/status
🔔 Incoming request: POST /admin/status
🔔 Incoming request: POST /admin/run-action
🔔 Incoming request: POST /admin/status
🔔 Incoming request: POST /admin/status
🔔 Incoming request: POST /admin/status
🔔 Incoming request: POST /admin/status
🔔 Incoming request: POST /pattern-families
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 351 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 653 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 495 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 653 candles
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 351 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 569 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 653 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 393 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 495 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 454 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 393 candles
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 569 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 351 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 653 candles
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 393 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 454 candles
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /phase1/results
🔔 Incoming request: POST /phase1/family-patterns
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 351 candles
🔔 Incoming request: POST /pattern-detail
🔔 Incoming request: POST /candles
✅ Successfully fetched 569 candles
